name,pcode,code
稚内,11,47401
沓形,11,2
浜頓別,11,3
北見枝幸,11,47402
歌登,11,5
中頓別,11,1051
豊富,11,1054
沼川,11,1203
船泊,11,1207
宗谷岬,11,1284
浜鬼志別,11,1285
本泊,11,1512
声問,11,1528
礼文,11,1546
幌泊,11,1593
宗谷地方全地点,11,0
幌延,11,1573
礼文上泊埼,11,1656
美深,12,6
ピヤシリ山,12,7
名寄,12,8
西風連,12,9
下川,12,10
士別,12,11
犬牛別峠,12,12
雄鷹峰,12,13
蓬莱山,12,14
上川,12,15
旭川,12,47407
瑞穂,12,17
終沢,12,18
旭岳,12,19
白金,12,20
富良野,12,21
前富良野岳,12,22
前時雨山,12,23
朝日,12,1047
比布,12,1048
層雲峡,12,1049
美瑛,12,1052
和寒,12,1055
東川,12,1184
志比内,12,1185
幾寅,12,1188
占冠,12,1189
上富良野,12,1190
江丹別,12,1191
音威子府,12,1197
中川,12,1201
麓郷,12,1280
東神楽,12,1458
小車,12,1570
剣淵,12,1572
金山,12,1574
幌加内,12,1053
朱鞠内,12,1279
天塩,13,24
遠別,13,25
羽幌,13,47404
留萌,13,47406
増毛,13,28
古丹別,13,1112
焼尻,13,1213
初山別,13,1216
達布,13,1217
幌糠,13,1218
留萌地方全地点,13,0
阿曽岩,14,29
新篠津,14,30
山口,14,31
手稲山,14,32
札幌,14,47412
小金湯,14,34
恵庭島松,14,35
島松山,14,36
支笏湖畔,14,37
西野幌,14,1076
石狩,14,1085
浜益,14,1193
厚田,14,1194
千歳,14,1459
江別,14,1507
石狩沼田,15,38
深川,15,39
常盤山,15,40
滝川,15,41
神威岳,15,42
芦別,15,43
美唄,15,44
岩見沢,15,47413
下桂沢,15,46
長沼,15,47
丁未山,15,48
夕張,15,49
登川山,15,50
月形,15,999
栗沢,15,1068
晩生内,15,1270
桜山,15,1271
空知吉野,15,1287
浦臼,15,1400
鹿島,15,1401
沼の沢,15,1402
新城,15,1419
赤平,15,1566
雨竜,15,1567
空知地方全地点,15,0
美国,16,51
余市,16,52
小樽,16,47411
共和,16,54
蘭越,16,55
倶知安,16,47433
脇方台地,16,57
寿都,16,47421
桂台,16,59
喜茂別,16,60
黒松内,16,61
真狩,16,1072
赤井川,16,1091
神恵内,16,1208
ニセコ,16,1615
雄武,17,47405
興部,17,63
紋別,17,47435
湧別,17,65
滝上,17,66
上藻別,17,67
常呂,17,68
遠軽,17,69
佐呂間,17,70
網走,17,47409
生田原,17,72
仁頃山,17,73
北見,17,74
小清水,17,75
斜里,17,76
留辺蘂,17,77
留辺蘂山,17,78
美幌,17,79
藻琴山,17,80
チミケップ山,17,81
津別,17,82
北見中山,17,83
宇登呂,17,981
西興部,17,1073
白滝,17,1092
境野,17,1209
東藻琴,17,1263
丸瀬布,17,1420
女満別,17,1460
紋別小向,17,1487
津別二又,17,1568
置戸常元,17,1569
網走・北見・紋別地方全地点,17,0
山園,17,1617
羅臼,18,84
標津,18,85
中標津,18,86
計根別,18,87
別海,18,88
根室,18,47420
納沙布,18,1056
厚床,18,1196
糸櫛別,18,1266
根室中標津,18,1489
上標津,18,1547
川湯,19,90
阿寒湖畔,19,91
弟子屈,19,92
標茶,19,93
幌呂台地,19,94
中徹別,19,95
阿寒,19,96
霧多布,19,97
白糠,19,98
釧路,19,47418
二俣,19,1107
鶴居,19,1186
弟子屈,19,1187
太田,19,1192
榊町,19,1195
知方学,19,1283
塘路,19,1403
茶内原野,19,1417
鶴丘,19,1461
釧路地方全地点,19,0
軍艦山,20,100
陸別,20,101
殖産高地,20,102
ぬかびら源泉郷,20,103
小坂山,20,104
上足寄,20,105
西ヌプカウシ山,20,106
上士幌,20,107
幌安山,20,108
足寄,20,109
佐幌岳,20,110
三角山,20,111
本別,20,112
新得,20,113
鹿追,20,114
芽室,20,115
帯広,20,47417
池田,20,117
浦幌,20,118
帯広岳,20,119
ひょうたん沢,20,120
大樹,20,121
広尾,20,47440
三国山,20,1099
駒場,20,1204
上札内,20,1210
更別,20,1211
大津,20,1214
糠内,20,1286
小利別,20,1404
押帯,20,1405
柏倉,20,1409
上螺湾,20,1410
留真,20,1418
帯広泉,20,1510
三股,20,1571
安平,21,123
厚真,21,124
穂別,21,125
森野,21,126
苫小牧,21,47424
大岸,21,128
有珠山,21,129
白老,21,130
鵡川,21,131
伊達,21,132
登別山,21,133
登別,21,134
室蘭,21,47423
大滝,21,1067
洞爺湖温泉,21,1329
カルルス,21,1429
豊浦,21,1496
花和,21,1498
虻田,21,1499
壮瞥,21,1500
入江,21,1501
月浦,21,1502
北有珠,21,1503
洞爺湖畔,21,1504
胆振地方全地点,21,0
日高門別,22,136
新和,22,137
ヌモトル山,22,138
笹山,22,139
静内,22,140
ピセナイ山,22,141
浦河,22,47426
仁世宇,22,1097
三石,22,1198
日高,22,1202
幌満,22,1264
目黒,22,1276
中杵臼,22,1288
えりも岬,22,1340
旭,22,1430
平取,22,1594
長万部,23,143
八雲,23,144
森,23,145
大沼,23,146
川汲,23,147
北斗,23,148
函館,23,47430
汐首,23,150
小谷石,23,151
松前,23,152
木古内,23,917
千軒,23,1265
蛾眉野,23,1416
高松,23,1462
戸井泊,23,1543
知内,23,1552
熊石,23,155
渡島地方全地点,23,0
せたな,24,153
今金,24,154
潮見,24,156
江差,24,47428
奥尻,24,1199
鶉,24,1200
石崎,24,1205
米岡,24,1513
障子山,31,158
むつ,31,47576
蟹田,31,160
青森,31,47575
野辺地,31,162
鰺ケ沢,31,163
五所川原,31,164
深浦,31,47574
弘前,31,166
黒石,31,167
八甲田山,31,168
三沢,31,169
四兵衛森,31,170
毛無山,31,171
十和田,31,172
八戸,31,47581
大鰐,31,174
碇ケ関,31,175
空岱山,31,176
休屋,31,177
朝日奈岳,31,178
三戸,31,179
今別,31,1026
六ケ所,31,1027
大間,31,1041
大和山,31,1042
酸ケ湯,31,1079
岳,31,1108
長慶平,31,1110
市浦,31,1119
小田野沢,31,1122
脇野沢,31,1124
七戸,31,1183
戸来,31,1272
温川,31,1406
青森大谷,31,1495
湯野川,31,1559
青森県全地点,31,0
田代岳,32,180
陣場,32,181
杉沢山,32,182
能代,32,183
鷹巣,32,184
鹿角,32,185
湯瀬,32,186
森吉山,32,187
五城目,32,188
男鹿本山,32,189
秋田,32,47582
太平山,32,191
岩見三内,32,192
角館,32,193
田沢湖,32,194
大曲,32,195
本荘,32,196
保呂羽山,32,197
横手,32,198
にかほ,32,199
矢島,32,200
三森山,32,201
湯沢,32,202
姥井戸山,32,203
湯の岱,32,204
大館,32,912
大潟,32,1035
男鹿,32,1036
八森,32,1043
大正寺,32,1050
東成瀬,32,1109
比立内,32,1115
東由利,32,1117
阿仁合,32,1131
鎧畑,32,1167
藤里,32,1273
桧木内,32,1278
八幡平,32,1289
笹子,32,1407
藤原,32,1408
男鹿真山,32,1422
仁別,32,1425
脇神,32,1463
雄和,32,1511
田沢湖高原,32,1652
種市,33,205
軽米,33,206
二戸,33,207
折爪岳,33,208
久慈,33,209
西岳,33,210
葛巻,33,211
袖山,33,212
茶臼岳,33,213
岩手松尾,33,214
岩手山,33,215
岩洞,33,216
大森山,33,217
岩泉,33,218
駒ケ岳,33,219
害鷹森,33,220
雫石,33,221
盛岡,33,47584
宮古,33,47585
薬師岳,33,224
黒森山,33,225
豊沢,33,226
花巻,33,227
大迫,33,228
湯田,33,229
北上,33,230
遠野,33,231
五葉山,33,232
釜石,33,233
岳山,33,234
若柳,33,235
江刺,33,236
大船渡,33,47512
一関,33,238
千厩,33,239
室根山,33,240
祭畤,33,1028
好摩,33,1032
山田,33,1033
大野,33,1037
衣川,33,1045
薮川,33,1078
米里,33,1113
沢内,33,1118
荒屋,33,1120
普代,33,1123
紫波,33,1128
葛根田,33,1168
住田,33,1206
小本,33,1212
奥中山,33,1215
山形,33,1219
川井,33,1224
門馬,33,1225
下戸鎖,33,1332
区界,33,1447
大槌,33,1508
大東,33,1557
金ヶ崎,33,1558
滝沢,33,1560
附馬牛,33,1563
岩手県全地点,33,0
厳美,33,1598
刈屋,33,1627
新町,33,1628
陸前高田,33,1629
一方井,33,1653
栗駒山,34,241
気仙沼,34,242
川渡,34,243
築館,34,244
箕輪山,34,245
志津川,34,246
古川,34,247
大衡,34,248
鹿島台,34,249
石巻,34,47592
新川,34,251
鷹巣山,34,252
仙台,34,47590
川崎,34,254
不忘山,34,255
白石,34,256
亘理,34,257
雄勝,34,985
米山,34,1029
塩釜,34,1030
駒ノ湯,34,1126
丸森,34,1220
花山,34,1267
江ノ島,34,1290
筆甫,34,1298
泉ケ岳,34,1365
名取,34,1464
鴬沢,34,1526
加美,34,1561
蔵王,34,1564
栗駒深山,34,1597
栗駒,34,1600
女川,34,1626
桃生,34,1630
東松島,34,1631
岩沼,34,1632
鳥海山,35,258
酒田,35,47587
差首鍋,35,260
太平山,35,261
金山,35,262
鶴岡,35,263
狩川,35,264
新庄,35,47520
瀬見,35,266
温海岳,35,267
櫛引,35,268
月山,35,269
銀山,35,270
楯岡,35,271
左沢,35,272
山形,35,47588
葉山,35,274
長井,35,275
蔵王山,35,276
小国,35,277
高峰,35,278
米沢,35,279
西吾妻山,35,280
向町,35,910
上草津,35,1038
尾花沢,35,1039
鼠ケ関,35,1040
山毛欅潰山,35,1103
肘折,35,1125
高畠,35,1132
落合,35,1169
飛島,35,1291
大井沢,35,1292
荒沢,35,1357
中津川,35,1372
白鷹山,35,1428
浜中,35,1465
東根,35,1488
村山,35,1539
上山中山,35,1562
山形県全地点,35,0
浪江,36,295
小野新町,36,304
広野,36,1034
川内,36,1129
相馬,36,285
郡山,36,299
梁川,36,281
稲荷峠,36,282
吾妻山,36,283
福島,36,47595
喜多方,36,286
八木沢,36,287
原町,36,288
飯谷山,36,289
猪苗代,36,290
二本松,36,291
白馬石山,36,292
若松,36,47570
船引,36,294
浅草岳,36,296
只見,36,297
博士峠,36,298
富岡,36,300
南郷,36,301
駒止峠,36,302
田島,36,303
観音山,36,305
白河,36,47597
石川,36,307
山王峠,36,308
大辷山,36,309
平,36,310
田代山,36,311
東白川,36,312
小名浜,36,47598
西会津,36,1031
金山,36,1044
鷲倉,36,1116
上遠野,36,1127
飯舘,36,1130
津島,36,1150
長沼,36,1268
舘岩,36,1269
川前,36,1274
桧原,36,1282
茂庭,36,1293
湯本,36,1294
桧枝岐,36,1295
吉尾峠,36,1359
六十里越,36,1364
湖南,36,1386
玉川,36,1466
山田,36,1607
新地,36,1633
古殿,36,1634
花園,40,314
北茨城,40,315
大子,40,316
神峰山,40,317
笠間,40,318
水戸,40,47629
古河,40,320
愛宕山,40,321
下妻,40,322
坂東,40,323
土浦,40,324
鹿嶋,40,325
江戸崎,40,911
日立,40,1011
柿岡,40,1012
美野里,40,1013
龍ケ崎,40,1014
筑波山,40,1082
中野,40,1170
徳田,40,1173
鉾田,40,1245
常陸大宮,40,1331
門井,40,1388
大能,40,1421
つくば（館野）,40,47646
下館,40,1530
茨城県全地点,40,0
高萩,40,1635
常総,40,1661
那須高原,41,326
黒田原,41,327
八方が原,41,328
黒磯,41,329
八溝山,41,330
大田原,41,331
奥日光（日光）,41,47690
方塞山,41,333
高根沢,41,334
鹿沼,41,335
宇都宮,41,47615
葛生,41,337
真岡,41,338
足利,41,339
栃木,41,340
小山,41,341
五十里,41,1015
足尾,41,1016
烏山,41,1017
佐野,41,1018
土呂部,41,1221
今市,41,1333
塩谷,41,1334
那須烏山,41,1605
前武尊,42,342
草津,42,343
野反湖,42,344
雨見山,42,345
沼田,42,346
赤城山,42,347
田代,42,348
榛名山,42,349
前橋,42,47624
桐生,42,351
一の字山,42,352
上里見,42,353
西野牧,42,354
藤岡,42,355
館林,42,356
稲含山,42,357
みなかみ,42,1019
中之条,42,1020
伊勢崎,42,1021
片品,42,1174
藤原,42,1222
神流,42,1223
黒保根,42,1259
高手山,42,1375
群馬県全地点,42,0
熊谷,43,47626
久喜,43,359
秩父,43,47641
堂平,43,361
飯能,43,362
さいたま,43,363
越谷,43,364
三峰,43,1000
寄居,43,1009
鴻巣,43,1069
所沢,43,1070
浦山,43,1159
上吉田,43,1182
鳩山,43,1232
ときがわ,43,1497
小河内,44,365
八王子,44,366
調布,44,367
世田谷,44,368
東京,44,47662
江戸川臨海,44,370
羽田,44,371
大島,44,47675
三宅島,44,47677
八丈島,44,47678
青梅,44,1001
練馬,44,1002
府中,44,1133
新島,44,1134
小沢,44,1180
父島,44,47971
大島北ノ山,44,1467
八重見ヶ原,44,1468
神津島,44,1505
三宅坪田,44,1506
三宅島阿古,44,1509
新島,44,1522
神津島,44,1523
三宅伊豆,44,1525
南鳥島,44,47991
東京都全地点,44,0
母島,44,1595
大島臨時,44,1642
大島泉津,44,1643
大島差木地,44,1644
利島,44,1646
青ヶ島,44,1648
香取,45,375
我孫子,45,376
東庄,45,377
成田,45,378
銚子,45,47648
千葉,45,47682
茂原,45,381
木更津,45,382
鋸南,45,383
鴨川,45,384
勝浦,45,47674
館山,45,47672
佐倉,45,916
横芝光,45,1003
大多喜,45,1004
船橋,45,1236
牛久,45,1238
坂畑,45,1241
相模湖,46,387
海老名,46,388
横浜,46,47670
箱根,46,390
江ノ島,46,391
三浦,46,392
相模原中央,46,1005
日吉,46,1006
平塚,46,1007
小田原,46,1008
丹沢湖,46,1096
辻堂,46,1443
神奈川県全地点,46,0
野沢温泉,48,393
信濃町,48,394
飯山,48,395
白馬,48,396
長野,48,47610
笠岳,48,398
大町,48,399
信州新町,48,400
四阿屋山,48,401
上田,48,402
燕岳,48,403
穂高,48,404
軽井沢,48,47622
松本,48,47618
鹿教湯,48,407
佐久,48,408
高ボッチ,48,409
茂来山,48,410
諏訪,48,47620
八ケ岳,48,412
木曽平沢,48,413
原村,48,414
野辺山,48,415
御嶽山,48,416
木曽福島,48,417
高遠,48,418
入笠山,48,419
宮田高原,48,420
松峯,48,421
須原,48,422
摺古木山,48,423
飯島,48,424
笹山,48,425
飯田,48,47637
恵那山,48,427
鶯巣,48,428
菅平,48,992
東御,48,993
上高地,48,994
南木曽,48,1022
南小谷,48,1090
鬼無里,48,1162
立科,48,1300
奈川,48,1312
開田高原,48,1314
浪合,48,1317
辰野,48,1319
南信濃,48,1323
阿南,48,1339
聖高原,48,1360
網掛山,48,1392
大鹿,48,1394
杉島,48,1397
十石峠,48,1399
小谷,48,1411
伊那,48,1445
松本今井,48,1529
北相木,48,1549
白樺湖,48,1550
高遠,48,1551
宮田,48,1591
王滝大又,48,1659
剣ノ峰,49,429
日向山,49,430
大菩薩,49,431
甲府,49,47638
勝沼,49,433
大月,49,434
八町山,49,435
古関,49,436
河口湖,49,47640
山中,49,438
南部,49,439
大泉,49,1023
韮崎,49,1024
上野原,49,1165
切石,49,1234
富士山,49,47639
山梨県全地点,49,0
乙女湖,49,1599
富士川,49,1640
白糸,50,440
御殿場,50,441
富士,50,442
三島,50,47657
越木平,50,444
川根本町,50,445
大山,50,446
網代,50,47668
高根山,50,448
静岡,50,47656
霧山,50,450
天竜,50,451
島田,50,452
湯ケ島,50,453
天城山,50,454
浜松,50,47654
松崎,50,456
稲取,50,457
御前崎,50,47655
石廊崎,50,47666
佐久間,50,986
土肥,50,987
三ヶ日,50,988
掛川,50,989
熊,50,1105
三倉,50,1106
梅ケ島,50,1114
清水,50,1243
磐田,50,1244
菊川牧之原,50,1335
井川,50,1338
三倉,50,1393
鍵穴,50,1440
富士山,50,47639
静岡空港,50,1601
一宮,51,460
豊山,51,461
茶臼山,51,462
名古屋,51,47636
豊田,51,464
東海,51,465
出来山,51,466
岡崎,51,467
作手,51,468
一色,51,469
豊橋,51,470
伊良湖,51,47653
田原,51,472
稲武,51,982
蟹江,51,983
南知多,51,984
小原,51,1166
鳳来,51,1341
蒲郡,51,1344
愛西,51,1346
新城,51,1541
セントレア,51,1555
阿蔵,51,1576
愛知県全地点,51,0
大府,51,1638
神岡,52,473
流葉山,52,474
森茂,52,475
高山,52,47617
乗鞍岳,52,477
大日岳,52,478
新渕山,52,479
船山,52,480
白尾山,52,481
白鳥,52,482
萩原,52,483
蕪山,52,484
八幡,52,485
樽見,52,486
金山,52,487
三界山,52,488
権現山,52,489
伽藍,52,490
美濃加茂,52,491
柄石峠,52,492
恵那,52,493
中津川,52,494
関ケ原,52,495
大垣,52,496
岐阜,52,47632
三森山,52,498
美濃,52,1057
多治見,52,1058
上石津,52,1059
栃尾,52,1061
宮地,52,1066
平井,52,1153
長滝,52,1299
揖斐川,52,1301
六厩,52,1305
白川,52,1306
河合,52,1308
宮之前,52,1311
黒川,52,1313
大日,52,1363
付知,52,1384
御母衣,52,1387
小津,52,1390
十二岳,52,1396
ひるがの,52,1436
清見,52,1437
丹生川,52,1438
関市板取,52,1577
北勢,53,499
桑名,53,500
雲母峰,53,501
四日市,53,47684
